RANK,NAME,TEAM,SALARY
RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$34,382,550"
2,"LeBron James, SF",Cleveland Cavaliers,"$33,285,709"
3,"Paul Millsap, PF",Denver Nuggets,"$31,269,231"
4,"Blake Griffin, PF",LA Clippers,"$29,727,900"
5,"Gordon Hayward, SF",Boston Celtics,"$29,727,900"
6,"Kyle Lowry, PG",Toronto Raptors,"$28,703,704"
7,"Mike Conley, PG",Memphis Grizzlies,"$28,530,608"
8,"Russell Westbrook, PG",Oklahoma City Thunder,"$28,530,608"
9,"James Harden, PG",Houston Rockets,"$28,299,399"
10,"DeMar DeRozan, SG",Toronto Raptors,"$27,739,975"
RK,NAME,TEAM,SALARY
11,"Al Horford, PF",Boston Celtics,"$27,734,406"
12,"Carmelo Anthony, PF",Oklahoma City Thunder,"$26,243,760"
13,"Damian Lillard, PG",Portland Trail Blazers,"$26,153,057"
14,"Jrue Holiday, PG",New Orleans Pelicans,"$25,686,667"
15,"Kevin Durant, SF",Golden State Warriors,"$25,000,000"
16,"Otto Porter Jr., SF",Washington Wizards,"$24,773,250"
17,"Chris Paul, PG",Houston Rockets,"$24,599,495"
18,"CJ McCollum, SG",Portland Trail Blazers,"$23,962,573"
19,"Andre Drummond, C",Detroit Pistons,"$23,775,506"
20,"Bradley Beal, SG",Washington Wizards,"$23,775,506"
RK,NAME,TEAM,SALARY
21,"Anthony Davis, PF",New Orleans Pelicans,"$23,775,506"
22,"Dwight Howard, C",Charlotte Hornets,"$23,500,000"
23,"Chandler Parsons, SF",Memphis Grizzlies,"$23,112,004"
24,"Harrison Barnes, SF",Dallas Mavericks,"$23,112,004"
25,"JJ Redick, SG",Philadelphia 76ers,"$23,000,000"
26,"Brook Lopez, C",Los Angeles Lakers,"$22,642,650"
27,"Marc Gasol, C",Memphis Grizzlies,"$22,642,350"
28,"DeAndre Jordan, C",LA Clippers,"$22,642,350"
29,"Kevin Love, C",Cleveland Cavaliers,"$22,642,350"
30,"Steven Adams, C",Oklahoma City Thunder,"$22,471,910"
RK,NAME,TEAM,SALARY
31,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$22,471,910"
32,"Nicolas Batum, SG",Charlotte Hornets,"$22,434,783"
33,"Rudy Gobert, C",Utah Jazz,"$21,924,719"
34,"LaMarcus Aldridge, PF",San Antonio Spurs,"$21,461,010"
35,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
36,"Danilo Gallinari, SF",LA Clippers,"$20,559,599"
37,"Serge Ibaka, PF",Toronto Raptors,"$20,061,729"
38,"George Hill, PG",Sacramento Kings,"$20,000,000"
39,"Ryan Anderson, PF",Houston Rockets,"$19,578,455"
40,"Paul George, SF",Oklahoma City Thunder,"$19,508,958"
