RANK,NAME,TEAM,SALARY
RK,NAME,TEAM,SALARY
401,"Reggie Williams, SF",New Orleans Pelicans,"$895,197"
402,"D.J. Stephens, SG",Memphis Grizzlies,"$874,636"
403,"D.J. Kennedy, SG",Memphis Grizzlies,"$874,636"
404,"Branden Dawson, SF",Orlando Magic,"$874,636"
405,"Casper Ware, PG",Melbourne United,"$874,636"
406,"J.J. O'Brien, SF",Milwaukee Bucks,"$874,636"
407,"Grant Jerrett, PF",Portland Trail Blazers,"$874,636"
408,"Christian Wood, PF",Charlotte Hornets,"$874,636"
409,"Duje Dukan, PF",Sacramento Kings,"$874,636"
410,"Cliff Alexander, PF",New Orleans Pelicans,"$874,636"
RK,NAME,TEAM,SALARY
411,"Gerald Green, SG",Houston Rockets,"$872,854"
412,"Xavier Rathan-Mayes, SG",Memphis Grizzlies,"$815,615"
413,"Dillon Brooks, SF",Memphis Grizzlies,"$815,615"
414,"Alex Hamilton, SG",Golden State Warriors,"$815,615"
415,"Sterling Brown, SG",Milwaukee Bucks,"$815,615"
416,"Alfonzo McKinnie, SF",Toronto Raptors,"$815,615"
417,"Dwayne Bacon, SF",Charlotte Hornets,"$815,615"
418,"T.J. Williams, PG",Charlotte Hornets,"$815,615"
419,"Terry Henderson, SG",Charlotte Hornets,"$815,615"
420,"Luke Petrasek, SF",Charlotte Hornets,"$815,615"
RK,NAME,TEAM,SALARY
421,"Royce O'Neale, SF",Utah Jazz,"$815,615"
422,"Daniel Theis, PF",Boston Celtics,"$815,615"
423,"L.J. Peak, SG",Boston Celtics,"$815,615"
424,"Tyler Dorsey, SG",Atlanta Hawks,"$815,615"
425,"Jordan Mathews, SG",Atlanta Hawks,"$815,615"
426,"Trey Burke, PG",New York Knicks,"$784,160"
427,"Alex Poythress, SF",Indiana Pacers,"$778,668"
428,"Dwight Buycks, PG",Detroit Pistons,"$748,160"
429,"Tyler Cavanaugh, PF",Atlanta Hawks,"$679,919"
430,"Emeka Okafor, C",New Orleans Pelicans,"$592,030"
RK,NAME,TEAM,SALARY
431,"DeAndre Liggins, SG",Milwaukee Bucks,"$588,120"
432,"Scott Wood, SG",Golden State Warriors,"$543,471"
433,"E.J. Singler, SF",Toronto Raptors,"$543,471"
434,"Drew Crawford, SG",Toronto Raptors,"$543,471"
435,"Brady Heslip, SG",Toronto Raptors,"$543,471"
436,"Rasheed Sulaimon, G",Charlotte Hornets,"$543,471"
437,"Andrew Andrews, G",Charlotte Hornets,"$543,471"
438,"Ryan Richards, PF",San Antonio Spurs,"$543,471"
439,"J.P. Tokoto, SG",New York Knicks,"$543,471"
440,"Maurice Ndour, SF",New York Knicks,"$543,471"
