RANK,NAME,TEAM,SALARY
RK,NAME,TEAM,SALARY
321,"OG Anunoby, SF",Toronto Raptors,"$1,645,200"
322,"Ante Zizic, PF",Cleveland Cavaliers,"$1,645,200"
323,"Caris LeVert, SG",Brooklyn Nets,"$1,632,480"
324,"Justin Anderson, SG",Philadelphia 76ers,"$1,579,440"
325,"Tyler Lydon, PF",Denver Nuggets,"$1,579,440"
326,"Ryan Kelly, PF",Atlanta Hawks,"$1,577,230"
327,"Shabazz Muhammad, SG",Minnesota Timberwolves,"$1,577,230"
328,"Archie Goodwin, SG",Portland Trail Blazers,"$1,577,230"
329,"Jeff Withey, C",Dallas Mavericks,"$1,577,230"
330,"DeAndre' Bembry, SF",Atlanta Hawks,"$1,567,200"
RK,NAME,TEAM,SALARY
331,"Caron Butler, SF",Sacramento Kings,"$1,551,659"
332,"Mitch McGary, PF",Oklahoma City Thunder,"$1,526,040"
333,"Joffrey Lauvergne, C",San Antonio Spurs,"$1,524,305"
334,"Julyan Stone, PG",Charlotte Hornets,"$1,524,305"
335,"Jerami Grant, SF",Oklahoma City Thunder,"$1,524,305"
336,"Joe Harris, SF",Brooklyn Nets,"$1,524,305"
337,"Glenn Robinson III, SG",Indiana Pacers,"$1,524,305"
338,"Bobby Portis, PF",Chicago Bulls,"$1,516,320"
339,"Malachi Richardson, SG",Toronto Raptors,"$1,504,560"
340,"Marcelo Huertas, PG",Houston Rockets,"$1,500,000"
RK,NAME,TEAM,SALARY
341,"Chris McCullough, PF",Washington Wizards,"$1,471,382"
342,"Donald Sloan, PG",Washington Wizards,"$1,471,382"
343,"Jarell Martin, PF",Memphis Grizzlies,"$1,471,382"
344,"Mario Chalmers, PG",Memphis Grizzlies,"$1,471,382"
345,"Raul Neto, PG",Utah Jazz,"$1,471,382"
346,"Anthony Morrow, SG",Portland Trail Blazers,"$1,471,382"
347,"Pat Connaughton, SG",Portland Trail Blazers,"$1,471,382"
348,"Nikola Jokic, C",Denver Nuggets,"$1,471,382"
349,"Jeremy Evans, F",Atlanta Hawks,"$1,471,382"
350,"Caleb Swanigan, PF",Portland Trail Blazers,"$1,465,920"
RK,NAME,TEAM,SALARY
351,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,465,920"
352,"Jordan Adams, SG",Memphis Grizzlies,"$1,465,080"
353,"Richard Jefferson, SF",Denver Nuggets,"$1,454,756"
354,"Willy Hernangomez, C",Charlotte Hornets,"$1,435,750"
355,"Jameer Nelson, PG",Detroit Pistons,"$1,429,818"
356,"Kyle Kuzma, PF",Los Angeles Lakers,"$1,423,560"
357,"Tony Bradley, C",Utah Jazz,"$1,414,920"
358,"Derrick White, PG",San Antonio Spurs,"$1,404,600"
359,"Josh Hart, SG",Los Angeles Lakers,"$1,394,520"
360,"Timothe Luwawu-Cabarrot, SG",Philadelphia 76ers,"$1,386,600"
