RANK,NAME,TEAM,SALARY
RK,NAME,TEAM,SALARY
241,"Zaza Pachulia, C",Golden State Warriors,"$3,477,600"
242,"Troy Daniels, SG",Phoenix Suns,"$3,408,520"
243,"Emmanuel Mudiay, PG",New York Knicks,"$3,381,480"
244,"Jamal Murray, PG",Denver Nuggets,"$3,355,320"
245,"Elfrid Payton, PG",Phoenix Suns,"$3,332,340"
246,"Rajon Rondo, PG",New Orleans Pelicans,"$3,300,000"
247,"Doug McDermott, SF",New York Knicks,"$3,294,994"
248,"Tyreke Evans, SG",Memphis Grizzlies,"$3,290,000"
249,"Tarik Black, PF",Houston Rockets,"$3,290,000"
250,"Anthony Tolliver, PF",Detroit Pistons,"$3,290,000"
RK,NAME,TEAM,SALARY
251,"Dennis Smith Jr., PG",Dallas Mavericks,"$3,218,280"
252,"Zach LaVine, PG",Chicago Bulls,"$3,202,218"
253,"Ekpe Udoh, C",Utah Jazz,"$3,200,000"
254,"TJ Warren, SF",Phoenix Suns,"$3,152,931"
255,"Stanley Johnson, SF",Detroit Pistons,"$3,097,800"
256,"Marquese Chriss, PF",Phoenix Suns,"$3,073,800"
257,"Zach Collins, C",Portland Trail Blazers,"$3,057,240"
258,"James Ennis III, SF",Memphis Grizzlies,"$3,028,410"
259,"Seth Curry, SG",Dallas Mavericks,"$3,028,410"
260,"Mindaugas Kuzminskas, F",New York Knicks,"$3,025,035"
RK,NAME,TEAM,SALARY
261,"Tomas Satoransky, SG",Washington Wizards,"$3,000,000"
262,"Justin Hamilton, C",Toronto Raptors,"$3,000,000"
263,"Tibor Pleiss, C",Philadelphia 76ers,"$3,000,000"
264,"Lucas Nogueira, C",Toronto Raptors,"$2,947,305"
265,"Jusuf Nurkic, C",Portland Trail Blazers,"$2,947,305"
266,"Malik Monk, SG",Charlotte Hornets,"$2,904,480"
267,"Frank Kaminsky, PF",Charlotte Hornets,"$2,847,600"
268,"Jakob Poeltl, C",Toronto Raptors,"$2,825,640"
269,"Luke Kennard, SG",Detroit Pistons,"$2,759,280"
270,"Justise Winslow, SF",Miami Heat,"$2,705,040"
RK,NAME,TEAM,SALARY
271,"Michael Carter-Williams, PG",Charlotte Hornets,"$2,700,000"
272,"Thon Maker, C",Milwaukee Bucks,"$2,684,160"
273,"Cedi Osman, SF",Cleveland Cavaliers,"$2,642,857"
274,"Donovan Mitchell, SG",Utah Jazz,"$2,621,280"
275,"Myles Turner, C",Indiana Pacers,"$2,569,920"
276,"Gary Harris, SG",Denver Nuggets,"$2,550,055"
277,"Domantas Sabonis, C",Indiana Pacers,"$2,550,000"
278,"Reggie Bullock, SG",Detroit Pistons,"$2,500,000"
279,"Manu Ginobili, SG",San Antonio Spurs,"$2,500,000"
280,"Malcolm Delaney, PG",Atlanta Hawks,"$2,500,000"
